customer_id,last_purchase_days_ago,total_orders,total_spent_usd,support_tickets_opened,is_churned,churn_risk_score,predicted_churn
CUST-1072,1,26,1359.77,0,0,0.1,0
CUST-1073,76,3,81.33,1,0,31.4,0
CUST-1074,55,25,712.92,3,0,0.2,0
CUST-1075,58,12,1265.45,2,0,0.3,0
CUST-1076,66,4,150.58,0,0,24.9,0
CUST-1077,3,13,634.78,2,0,0.4,0
CUST-1078,19,6,409.27,4,0,10.7,0
CUST-1079,5,13,710.15,3,0,0.2,0
CUST-1080,89,19,311.5,1,0,16.4,0
CUST-1081,43,10,951.08,3,0,1.4,0
CUST-1082,18,8,457.54,0,0,5.4,0
CUST-1083,2,10,794.37,3,0,0.7,0
CUST-1084,16,4,396.64,1,0,5.6,0
CUST-1085,17,3,40.27,1,0,19.9,0
CUST-1086,58,6,598.14,4,0,11.5,0
CUST-1087,45,11,2524.78,2,0,1.5,0
CUST-1088,98,9,760.27,5,0,9.2,0
CUST-1089,28,9,1228.01,3,0,0.8,0
CUST-1090,5,8,911.38,2,0,2.5,0
CUST-1091,56,7,683.13,0,0,2.2,0
CUST-1092,64,11,1278.53,2,0,1.1,0
CUST-1093,37,17,2167.39,2,0,0.1,0
CUST-1094,66,12,1564.44,1,0,0.7,0
CUST-1095,30,10,284.61,3,0,15.6,0
CUST-1096,33,8,962.44,1,0,1.6,0
CUST-1097,25,7,396.74,0,0,9.0,0
CUST-1098,1,11,1463.27,3,0,0.6,0
CUST-1099,5,15,1332.12,4,0,0.1,0
CUST-1100,1,3,84.48,1,0,13.8,0
CUST-1101,45,16,2294.07,1,0,0.1,0
CUST-1102,16,7,281.11,3,0,15.6,0
CUST-1103,31,9,494.44,0,0,3.3,0
CUST-1104,107,26,4221.66,1,0,2.8,0
CUST-1105,12,6,436.4,5,0,22.8,0
CUST-1106,23,5,267.2,0,0,11.7,0
CUST-1107,63,14,891.16,2,0,5.4,0
CUST-1108,11,8,421.77,0,1,19.2,0
CUST-1109,3,1,105.34,1,0,9.9,0
CUST-1110,15,12,645.02,4,0,1.4,0
CUST-1111,7,19,1234.87,4,0,0.1,0
CUST-1112,119,4,372.82,0,0,43.0,0
CUST-1113,74,18,1570.8,7,0,1.9,0
CUST-1114,45,6,254.46,2,0,18.1,0
CUST-1115,92,26,2757.97,2,0,0.7,0
CUST-1116,73,12,572.66,1,0,1.8,0
CUST-1117,9,27,891.28,3,0,0.0,0
CUST-1118,100,12,212.27,0,0,18.6,0
CUST-1119,34,11,656.48,1,0,0.7,0
CUST-1120,74,11,228.15,0,0,14.1,0
CUST-1121,101,14,539.57,1,0,3.6,0
CUST-1122,17,20,1320.13,0,0,0.1,0
CUST-1123,5,13,1637.01,0,0,0.1,0
CUST-1124,11,14,782.02,0,0,0.3,0
CUST-1125,25,25,605.74,3,0,0.3,0
CUST-1126,76,14,872.88,1,1,14.6,0
CUST-1127,88,11,1354.7,2,0,1.8,0
CUST-1128,1,5,275.25,1,0,12.9,0
CUST-1129,32,7,966.73,1,0,1.3,0
CUST-1130,24,7,460.45,1,0,4.2,0
CUST-1131,11,14,1398.71,1,0,0.2,0
CUST-1132,5,10,759.86,1,0,0.6,0
CUST-1133,18,7,940.39,5,0,7.0,0
CUST-1134,128,27,5346.15,0,0,1.0,0
CUST-1135,17,27,1330.26,1,0,0.0,0
CUST-1136,32,8,586.88,1,0,2.5,0
CUST-1137,54,6,755.24,2,0,1.8,0
CUST-1138,20,18,1396.28,1,0,0.0,0
CUST-1139,160,20,339.77,1,1,65.6,1
CUST-1140,147,17,945.03,3,0,2.4,0
CUST-1141,13,4,308.72,1,0,8.6,0
CUST-1142,30,7,1086.57,0,0,1.2,0
CUST-1143,16,10,709.84,1,0,0.6,0
CUST-1144,15,15,552.11,1,0,1.6,0
CUST-1145,1,7,547.9,3,0,4.2,0
CUST-1146,42,2,292.95,1,0,10.9,0
CUST-1147,31,2,88.71,2,0,16.8,0
CUST-1148,2,27,1299.39,2,0,0.0,0
CUST-1149,14,4,179.22,0,0,10.3,0
CUST-1150,107,7,186.65,2,1,55.7,1
CUST-1151,12,17,1174.38,0,0,0.1,0
CUST-1152,7,8,514.09,0,0,12.9,0
CUST-1153,30,7,129.73,1,1,34.5,0
CUST-1154,190,26,1008.09,2,0,0.7,0
CUST-1155,12,10,746.31,3,0,0.7,0
CUST-1156,50,8,788.41,2,0,2.4,0
CUST-1157,64,16,1826.98,1,0,0.5,0
CUST-1158,12,6,618.98,1,0,1.6,0
CUST-1159,58,8,532.77,2,0,4.9,0
CUST-1160,20,19,446.35,0,0,1.7,0
CUST-1161,45,13,752.53,2,0,0.5,0
CUST-1162,45,30,272.39,3,0,13.6,0
CUST-1163,34,28,2095.66,2,0,0.1,0
CUST-1164,4,33,1430.77,2,0,0.0,0
CUST-1165,81,11,144.3,0,1,26.7,0
CUST-1166,17,22,1828.38,0,0,0.1,0
CUST-1167,9,17,2473.25,2,0,0.0,0
CUST-1168,1,6,125.72,0,0,15.4,0
CUST-1169,40,13,1132.67,5,0,0.1,0
CUST-1170,50,8,414.9,0,1,27.0,0
CUST-1171,1,24,963.21,0,0,0.1,0
CUST-1172,32,6,241.16,2,0,19.6,0
CUST-1173,11,24,1244.5,2,0,0.0,0
CUST-1174,46,28,1448.53,0,0,0.1,0
CUST-1175,8,10,649.88,1,0,0.7,0
CUST-1176,52,18,675.73,2,0,0.5,0
CUST-1177,22,3,128.7,2,0,13.2,0
CUST-1178,124,10,918.82,2,0,3.0,0
CUST-1179,6,16,564.39,1,0,0.3,0
CUST-1180,18,23,1787.79,4,0,0.1,0
CUST-1181,5,12,642.83,4,0,1.4,0
CUST-1182,116,23,1076.35,0,0,0.8,0
CUST-1183,94,14,2404.37,1,0,2.2,0
CUST-1184,13,16,433.83,0,0,3.3,0
CUST-1185,48,8,1208.8,1,0,1.4,0
CUST-1186,76,8,854.34,2,0,2.3,0
CUST-1187,36,9,396.95,3,0,10.0,0
CUST-1188,33,9,976.86,0,0,0.7,0
CUST-1189,12,11,65.64,1,0,19.5,0
CUST-1190,4,19,786.25,4,0,0.2,0
CUST-1191,102,7,249.27,2,1,44.5,0
CUST-1192,103,12,1004.25,2,0,1.2,0
CUST-1193,45,17,1694.28,4,0,0.4,0
CUST-1194,18,9,746.05,1,0,0.6,0
CUST-1195,19,5,359.35,2,0,9.6,0
CUST-1196,58,13,1464.42,2,0,0.4,0
CUST-1197,102,21,2177.3,3,0,0.7,0
CUST-1198,98,19,824.7,0,0,1.3,0
CUST-1199,68,14,653.05,1,0,1.3,0
CUST-1200,46,22,2207.33,1,0,0.1,0
CUST-1201,3,10,646.01,2,0,0.7,0
CUST-1202,7,11,740.6,0,0,0.4,0
CUST-1203,102,6,436.14,2,0,12.1,0
CUST-1204,41,8,140.91,2,0,24.5,0
CUST-1205,1,14,589.73,1,0,0.5,0
CUST-1206,4,27,2373.53,2,0,0.0,0
CUST-1207,49,14,586.47,2,0,0.7,0
CUST-1208,1,7,401.95,1,0,8.8,0
CUST-1209,7,2,175.16,2,0,8.8,0
CUST-1210,35,17,1975.7,1,0,0.1,0
CUST-1211,52,16,1985.5,2,0,0.1,0
CUST-1212,47,30,3842.2,0,0,0.1,0
CUST-1213,11,18,1095.29,0,0,0.1,0
CUST-1214,56,10,569.96,0,0,1.9,0
CUST-1215,12,11,325.22,0,0,12.4,0
CUST-1216,17,12,1751.45,1,0,0.1,0
CUST-1217,61,14,776.97,3,0,0.5,0
CUST-1218,47,10,1440.39,1,0,0.9,0
CUST-1219,85,9,710.82,2,0,1.9,0
CUST-1220,48,24,2862.73,0,0,0.1,0
CUST-1221,37,7,443.88,1,0,5.2,0
CUST-1222,4,6,555.97,2,0,1.6,0
CUST-1223,20,19,2310.02,0,0,0.1,0
CUST-1224,13,10,482.95,2,0,3.2,0
CUST-1225,12,7,899.2,2,0,1.2,0
CUST-1226,162,8,259.7,0,0,25.8,0
CUST-1227,22,17,2876.98,1,0,0.0,0
CUST-1228,100,10,728.63,2,0,1.5,0
CUST-1229,44,23,979.02,3,0,0.1,0
CUST-1230,71,8,844.79,2,0,2.3,0
CUST-1231,31,2,162.31,1,0,13.9,0
CUST-1232,38,10,183.78,0,0,15.8,0
CUST-1233,30,4,207.49,0,0,15.8,0
CUST-1234,9,14,470.04,2,0,1.7,0
CUST-1235,57,15,534.91,1,0,1.7,0
CUST-1236,14,11,382.75,1,0,7.7,0
CUST-1237,1,14,1261.96,1,0,0.2,0
CUST-1238,46,12,1322.91,1,0,0.2,0
CUST-1239,8,14,560.28,1,0,1.5,0
CUST-1240,126,23,337.33,0,0,28.5,0
CUST-1241,138,32,288.32,3,1,71.8,1
CUST-1242,110,4,765.73,2,0,2.0,0
CUST-1243,20,3,219.99,2,0,14.9,0
CUST-1244,1,3,318.13,1,0,9.3,0
CUST-1245,118,18,1062.01,0,0,0.8,0
CUST-1246,25,14,169.63,2,0,9.6,0
CUST-1247,153,7,595.13,2,1,66.5,1
CUST-1248,149,17,2708.17,2,0,2.5,0
CUST-1249,86,12,529.65,3,0,4.2,0
CUST-1250,15,7,76.52,3,1,52.5,1
CUST-1251,21,11,323.89,1,1,13.9,0
CUST-1252,85,6,653.92,0,0,1.3,0
CUST-1253,17,5,403.95,0,0,6.3,0
CUST-1254,8,11,1416.34,4,0,2.4,0
CUST-1255,36,7,469.18,2,0,4.4,0
CUST-1256,123,31,3059.54,2,0,0.3,0
CUST-1257,53,9,458.17,2,0,7.2,0
CUST-1258,37,12,373.38,1,0,16.6,0
CUST-1259,4,25,2471.32,0,0,0.1,0
CUST-1260,42,9,990.04,4,0,5.3,0
CUST-1261,207,24,1075.71,3,0,0.7,0
CUST-1262,6,19,2874.9,4,0,0.1,0
CUST-1263,32,14,2151.35,2,0,0.2,0
CUST-1264,94,3,104.84,2,1,39.2,0
CUST-1265,60,28,1010.06,1,0,0.1,0
CUST-1266,53,13,484.25,2,0,3.2,0
CUST-1267,54,19,1171.03,1,0,0.4,0
CUST-1268,20,3,157.43,4,1,32.4,0
CUST-1269,15,15,394.89,2,0,5.5,0
CUST-1270,74,13,493.88,4,0,7.1,0
CUST-1271,74,11,135.76,1,0,23.9,0
CUST-1272,90,15,214.91,1,0,13.0,0
CUST-1273,110,2,45.28,0,0,23.2,0
CUST-1274,32,11,2040.96,0,0,0.4,0
CUST-1275,31,1,173.06,0,0,14.3,0
CUST-1276,72,8,817.38,3,0,1.9,0
CUST-1277,47,17,767.19,2,0,0.2,0
CUST-1278,54,15,335.3,2,1,32.2,0
CUST-1279,71,7,463.16,2,0,6.4,0
CUST-1280,99,11,950.44,0,0,1.5,0
CUST-1281,18,15,607.12,0,0,0.4,0
CUST-1282,21,13,1088.07,1,0,0.1,0
CUST-1283,4,14,409.42,1,0,6.0,0
CUST-1284,38,7,320.19,2,0,16.7,0
CUST-1285,1,15,850.18,1,0,0.2,0
CUST-1286,28,12,2111.3,1,0,0.1,0
CUST-1287,35,9,338.52,0,1,17.0,0
CUST-1288,15,4,344.61,3,1,8.1,0
CUST-1289,40,25,844.35,2,0,0.2,0
CUST-1290,1,5,152.95,3,1,21.5,0
CUST-1291,1,10,403.54,2,1,8.2,0
CUST-1292,77,6,405.5,1,0,10.7,0
CUST-1293,20,17,2761.83,1,0,0.0,0
CUST-1294,6,16,711.69,3,0,0.2,0
CUST-1295,33,5,552.44,3,0,5.1,0
CUST-1296,66,6,1085.05,0,0,0.9,0
CUST-1297,10,19,1476.44,2,0,0.0,0
CUST-1298,43,13,1587.22,2,0,0.1,0
CUST-1299,4,9,349.91,0,0,13.4,0
CUST-1300,2,10,848.0,2,0,0.6,0
CUST-1301,34,11,1075.28,3,0,0.7,0
CUST-1302,35,8,203.24,1,0,17.4,0
CUST-1303,45,10,362.94,2,1,24.0,0
CUST-1304,58,13,716.61,3,0,0.4,0
CUST-1305,167,24,986.77,2,0,2.7,0
CUST-1306,32,24,1421.86,1,0,0.1,0
CUST-1307,17,6,136.41,1,0,14.6,0
CUST-1308,71,13,2221.49,2,0,0.7,0
CUST-1309,14,20,2340.69,3,0,0.0,0
CUST-1310,26,13,4412.8,1,0,0.1,0
CUST-1311,3,21,581.16,2,0,0.3,0
CUST-1312,1,9,780.92,2,0,0.7,0
CUST-1313,147,10,413.75,2,0,59.9,1
CUST-1314,81,8,243.7,3,0,18.1,0
CUST-1315,53,7,792.9,2,0,1.8,0
CUST-1316,23,7,482.56,2,0,4.0,0
CUST-1317,8,4,211.08,1,1,14.8,0
CUST-1318,7,18,1423.96,0,0,0.1,0
CUST-1319,12,6,224.22,0,0,15.3,0
CUST-1320,35,11,401.7,1,0,8.8,0
CUST-1321,56,11,466.21,5,1,39.9,0
CUST-1322,48,17,2147.66,3,0,0.1,0
CUST-1323,14,16,1928.18,4,0,0.1,0
CUST-1324,139,3,80.23,1,0,41.7,0
CUST-1325,60,7,1167.18,1,0,1.0,0
CUST-1326,36,7,457.72,2,0,5.0,0
CUST-1327,42,13,1116.97,0,0,0.1,0
CUST-1328,24,27,1119.55,1,0,0.0,0
CUST-1329,12,7,472.72,1,0,3.8,0
CUST-1330,19,5,151.66,1,0,13.9,0
CUST-1331,63,7,276.89,1,1,29.5,0
CUST-1332,1,26,2805.79,2,0,0.0,0
CUST-1333,5,20,2187.47,3,0,0.0,0
CUST-1334,2,9,794.48,0,0,0.5,0
CUST-1335,1,13,658.06,1,0,0.4,0
CUST-1336,87,13,343.3,2,0,22.6,0
CUST-1337,54,10,1350.67,1,0,0.9,0
CUST-1338,28,5,570.29,2,0,2.8,0
CUST-1339,4,7,113.78,1,0,25.0,0
CUST-1340,30,15,1656.97,3,0,0.1,0
CUST-1341,28,16,844.01,3,0,0.2,0
CUST-1342,8,8,797.26,2,0,1.7,0
CUST-1343,25,12,275.53,0,0,10.5,0
CUST-1344,22,20,858.63,1,0,0.2,0
CUST-1345,43,22,1553.21,3,0,0.1,0
CUST-1346,45,11,1880.16,1,0,0.6,0
CUST-1347,2,9,636.41,1,0,0.7,0
CUST-1348,21,8,987.49,1,0,1.2,0
CUST-1349,44,33,2527.73,2,0,0.1,0
CUST-1350,31,13,974.38,2,0,0.1,0
CUST-1351,87,11,1002.15,3,0,2.1,0
CUST-1352,48,10,643.1,1,0,1.3,0
CUST-1353,8,15,1596.23,2,0,0.1,0
CUST-1354,3,8,255.44,1,0,11.4,0
CUST-1355,46,16,1033.35,2,0,0.1,0
CUST-1356,1,7,1254.06,2,0,1.1,0
CUST-1357,39,5,631.88,2,0,2.7,0
CUST-1358,126,11,887.14,0,0,2.3,0
CUST-1359,38,19,2213.96,1,0,0.1,0
CUST-1360,22,4,611.22,0,0,1.5,0
CUST-1361,46,3,43.55,1,0,27.5,0
CUST-1362,27,9,503.91,3,0,3.4,0
CUST-1363,35,11,471.15,2,0,2.8,0
CUST-1364,127,3,72.72,1,1,63.6,1
CUST-1365,21,8,1549.27,2,0,1.7,0
CUST-1366,146,21,1967.11,2,0,2.8,0
CUST-1367,106,5,570.89,2,0,6.1,0
CUST-1368,9,13,573.12,0,0,0.4,0
CUST-1369,3,8,441.85,1,0,6.6,0
CUST-1370,4,22,1462.08,1,0,0.0,0
CUST-1371,1,4,337.23,1,0,9.4,0
CUST-1372,4,21,2186.81,1,0,0.0,0
CUST-1373,51,5,86.21,0,0,33.5,0
CUST-1374,3,11,1103.41,0,0,0.3,0
CUST-1375,17,14,806.02,1,0,0.3,0
CUST-1376,83,18,2811.81,1,0,0.8,0
CUST-1377,1,19,2633.25,0,0,0.1,0
CUST-1378,75,7,554.99,3,0,5.5,0
CUST-1379,14,7,475.92,2,0,3.9,0
CUST-1380,5,12,657.94,2,0,0.3,0
CUST-1381,53,28,2368.71,1,0,0.1,0
CUST-1382,44,5,672.23,0,0,1.5,0
CUST-1383,94,9,620.51,2,0,2.8,0
CUST-1384,59,34,1578.34,0,0,0.1,0
CUST-1385,73,12,816.1,1,0,1.0,0
CUST-1386,14,11,881.78,1,0,0.3,0
CUST-1387,8,6,182.54,2,0,14.0,0
CUST-1388,62,9,225.4,1,0,19.1,0
CUST-1389,73,24,1133.4,0,0,0.5,0
CUST-1390,209,9,1404.25,2,0,1.3,0
CUST-1391,23,15,1952.35,0,0,0.1,0
CUST-1392,20,6,125.35,2,0,16.2,0
CUST-1393,67,6,212.32,2,0,26.9,0
CUST-1394,18,2,206.21,0,0,10.2,0
CUST-1395,120,11,562.73,2,0,22.0,0
CUST-1396,87,8,698.43,1,0,1.8,0
CUST-1397,25,16,349.28,1,0,12.3,0
CUST-1398,62,8,537.32,0,0,4.3,0
CUST-1399,63,10,629.47,4,1,27.1,0
CUST-1400,4,29,3320.38,2,0,0.0,0
CUST-1401,104,9,758.86,3,0,1.5,0
CUST-1402,31,11,799.44,2,0,0.6,0
CUST-1403,78,5,90.56,3,0,34.5,0
CUST-1404,17,1,182.41,2,0,9.8,0
CUST-1405,101,12,1185.94,0,0,1.3,0
CUST-1406,22,17,707.88,2,0,0.2,0
CUST-1407,1,6,429.38,1,0,5.9,0
CUST-1408,106,10,521.73,1,0,10.9,0
CUST-1409,4,4,234.46,3,0,11.8,0
CUST-1410,17,16,2064.08,0,0,0.1,0
CUST-1411,134,22,775.92,3,0,1.8,0
CUST-1412,135,15,1518.49,2,0,2.0,0
CUST-1413,38,8,1056.93,1,0,1.5,0
CUST-1414,44,24,2212.24,2,0,0.1,0
CUST-1415,26,7,423.36,2,0,13.3,0
CUST-1416,15,25,991.06,2,0,0.0,0
CUST-1417,17,13,564.69,0,0,0.4,0
CUST-1418,50,5,362.32,1,0,17.9,0
CUST-1419,62,6,413.14,0,0,16.1,0
CUST-1420,70,7,760.19,1,0,1.2,0
CUST-1421,70,10,230.51,3,1,27.8,0
CUST-1422,4,10,1280.84,1,0,0.4,0
CUST-1423,30,18,4497.59,3,0,0.1,0
CUST-1424,2,9,576.88,0,0,1.0,0
CUST-1425,35,1,58.08,1,1,37.1,0
CUST-1426,26,8,492.8,1,0,5.0,0
CUST-1427,98,30,2128.37,4,0,1.7,0
CUST-1428,19,7,386.63,4,0,13.8,0
CUST-1429,5,24,354.36,1,0,12.7,0
CUST-1430,6,18,1093.55,1,0,0.0,0
CUST-1431,64,10,735.61,3,0,2.0,0
CUST-1432,43,17,2311.83,1,0,0.1,0
CUST-1433,4,19,664.07,1,0,0.3,0
CUST-1434,3,2,333.82,2,0,6.5,0
CUST-1435,54,4,211.37,1,0,23.5,0
CUST-1436,3,12,454.85,2,0,2.3,0
CUST-1437,77,4,395.37,0,0,8.5,0
CUST-1438,55,22,1078.0,1,0,0.1,0
CUST-1439,3,4,259.45,1,0,9.3,0
CUST-1440,3,19,1284.65,0,0,0.1,0
CUST-1441,194,5,477.85,1,1,45.8,0
CUST-1442,21,31,1974.0,1,0,0.0,0
CUST-1443,20,8,475.3,0,0,4.9,0
CUST-1444,75,13,675.54,3,0,1.2,0
CUST-1445,132,9,810.33,2,0,3.7,0
CUST-1446,192,12,568.21,2,0,32.7,0
CUST-1447,62,12,1662.8,2,0,0.3,0
CUST-1448,21,11,748.83,1,0,0.5,0
CUST-1449,3,5,94.49,2,0,15.3,0
CUST-1450,67,15,1201.91,2,0,1.0,0
CUST-1451,36,20,1760.73,3,0,0.1,0
CUST-1452,24,2,278.91,1,0,8.3,0
CUST-1453,106,12,490.28,3,0,8.4,0
CUST-1454,5,11,405.88,1,0,7.5,0
CUST-1455,30,16,1558.85,2,0,0.1,0
CUST-1456,1,22,2785.33,1,0,0.0,0
CUST-1457,28,20,795.35,0,0,0.2,0
CUST-1458,2,14,1097.74,2,0,0.2,0
CUST-1459,5,8,514.85,2,1,21.8,0
CUST-1460,5,2,81.44,0,0,10.1,0
CUST-1461,47,23,1426.97,3,0,0.1,0
CUST-1462,61,34,4131.33,0,0,0.1,0
CUST-1463,39,11,750.78,0,0,0.5,0
CUST-1464,147,3,180.07,2,1,58.8,1
CUST-1465,21,20,1889.43,4,0,0.1,0
CUST-1466,15,19,2428.59,1,0,0.0,0
CUST-1467,91,12,414.32,3,1,36.1,0
CUST-1468,11,7,562.42,3,0,2.4,0
CUST-1469,148,3,159.18,2,0,48.4,0
CUST-1470,1,7,479.07,1,0,4.0,0
CUST-1471,157,3,296.47,3,1,73.2,1
CUST-1472,1,6,334.57,4,0,19.9,0
CUST-1473,99,12,760.55,2,0,1.6,0
CUST-1474,33,18,2085.68,2,0,0.1,0
CUST-1475,223,10,867.85,3,0,1.9,0
CUST-1476,3,9,562.47,0,0,1.0,0
CUST-1477,36,13,942.92,1,0,0.1,0
CUST-1478,156,6,416.14,1,1,68.2,1
CUST-1479,33,8,142.5,1,0,19.0,0
CUST-1480,44,12,879.31,2,0,0.1,0
CUST-1481,53,3,81.27,4,1,51.3,1
CUST-1482,27,18,2264.23,2,0,0.1,0
CUST-1483,44,16,426.11,2,0,5.4,0
CUST-1484,39,3,154.18,0,0,18.1,0
CUST-1485,104,12,543.84,4,0,7.7,0
CUST-1486,2,2,304.89,2,0,6.1,0
CUST-1487,14,17,2088.0,1,0,0.0,0
CUST-1488,135,3,30.75,0,1,57.6,1
CUST-1489,99,17,1125.0,2,0,0.7,0
CUST-1490,27,3,91.74,4,0,29.6,0
CUST-1491,43,5,367.21,0,0,11.9,0
CUST-1492,14,6,585.14,0,0,1.6,0
CUST-1493,9,21,1620.83,2,0,0.0,0
CUST-1494,28,21,2120.11,0,0,0.1,0
CUST-1495,19,23,1304.41,1,0,0.0,0
CUST-1496,39,19,1494.38,2,0,0.1,0
CUST-1497,3,15,1483.41,1,0,0.1,0
CUST-1498,164,8,401.18,1,0,50.0,1
CUST-1499,192,17,638.04,0,0,15.3,0
CUST-1500,53,10,437.05,0,0,17.6,0
CUST-1501,34,10,619.78,0,0,1.4,0
CUST-1502,16,14,941.95,0,0,0.2,0
CUST-1503,75,9,732.23,2,0,1.7,0
CUST-1504,51,24,981.06,5,0,0.2,0
CUST-1505,7,5,502.74,2,0,3.1,0
CUST-1506,108,17,2923.52,1,0,2.8,0
CUST-1507,77,20,910.83,4,0,1.8,0
CUST-1508,134,6,1351.59,0,0,6.8,0
CUST-1509,58,1,184.86,1,0,18.5,0
CUST-1510,42,18,1208.75,0,0,0.1,0
CUST-1511,24,6,365.03,2,0,10.9,0
CUST-1512,121,12,519.51,0,0,10.5,0
CUST-1513,90,26,2836.37,0,0,0.8,0
CUST-1514,2,8,559.36,4,0,9.0,0
CUST-1515,1,3,223.26,3,0,14.9,0
CUST-1516,21,14,533.1,2,0,1.0,0
CUST-1517,74,31,3436.55,3,0,0.4,0
CUST-1518,196,4,231.47,1,0,37.1,0
CUST-1519,7,36,1159.68,1,0,0.0,0
CUST-1520,40,11,703.55,0,0,0.6,0
CUST-1521,21,10,397.7,0,0,8.9,0
CUST-1522,157,11,1535.25,1,0,7.8,0
CUST-1523,83,17,3119.84,1,0,0.8,0
CUST-1524,81,18,1171.46,0,0,0.8,0
CUST-1525,28,9,1088.11,1,0,0.7,0
CUST-1526,24,16,1907.4,2,0,0.0,0
CUST-1527,14,9,37.53,0,0,19.0,0
CUST-1528,2,12,525.0,2,0,1.3,0
CUST-1529,90,10,717.83,1,0,1.6,0
CUST-1530,75,14,713.77,2,0,1.9,0
CUST-1531,365,15,622.72,1,1,62.2,1
CUST-1532,256,12,1484.79,2,0,2.3,0
CUST-1533,36,13,646.18,0,0,0.4,0
CUST-1534,65,13,1059.31,1,0,0.8,0
CUST-1535,130,10,1176.77,1,0,2.7,0
CUST-1536,85,11,1585.97,4,0,7.1,0
CUST-1537,12,8,258.62,1,0,10.9,0
CUST-1538,26,9,308.97,2,1,16.1,0
CUST-1539,6,12,914.79,1,0,0.1,0
CUST-1540,138,12,175.11,1,1,66.6,1
CUST-1541,41,6,212.99,1,0,22.3,0
CUST-1542,11,14,1839.65,3,0,0.2,0
CUST-1543,50,5,480.56,1,0,4.1,0
CUST-1544,43,18,1115.59,1,0,0.1,0
CUST-1545,19,34,2991.37,0,0,0.1,0
CUST-1546,5,6,599.56,1,0,1.6,0
CUST-1547,50,3,74.4,1,1,42.8,0
